Strike,Last Sale,Bid/Ask Avg,IV
3500,2.05,2.025,0.4697
3510,1.4,2.075,0.4678
3520,1.5,2.1,0.4651
3525,1.6,2.125,0.4631
3530,1.4,2.15,0.4624
3540,1.55,2.175,0.4597
3550,1.6,2.25,0.457
3560,2.33,2.3,0.4542
3570,1.65,2.325,0.4514
3575,2.05,2.375,0.4494
3580,1.7,2.375,0.4485
3590,2.5,2.45,0.4458
3600,2.54,2.5,0.4429
3610,2.55,2.525,0.4399
3620,1.85,2.575,0.437
3625,2.45,2.625,0.4361
3630,1.9,2.65,0.4341
3640,1.8,2.725,0.4311
3650,2.79,2.775,0.4292
3660,2.7,2.825,0.4266
3665,2.05,2.825,0.4246
3670,2.05,2.875,0.4231
3675,2.1,2.925,0.4216
3680,1.95,2.925,0.4205
3685,2.85,3,0.4185
3690,2.9,3,0.4164
3695,2.9,3.025,0.4164
3700,3.2,3.1,0.4143
3705,3.2,3.1,0.4123
3710,3,3.1,0.4121
3715,2.95,3.15,0.4101
3720,3,3.2,0.408
3725,3,3.2,0.4078
3730,3.2,3.25,0.4058
3735,2.3,3.3,0.4037
3740,2.35,3.3,0.4034
3745,3.4,3.35,0.4014
3750,3.35,3.4,0.4002
3755,2.45,3.4,0.399
3760,3.5,3.45,0.397
3765,3.2,3.5,0.3958
3770,2.5,3.5,0.3946
3775,3.3,3.55,0.3925
3780,2.6,3.6,0.3913
3785,2.55,3.6,0.39
3790,2.6,3.65,0.388
3795,2.94,3.7,0.3875
3800,3.38,3.7,0.3854
3805,2.65,3.75,0.3849
3810,2.7,3.8,0.3829
3815,2.75,3.85,0.3808
3820,2.75,3.85,0.3802
3825,3.38,3.9,0.3782
3830,2.85,3.95,0.3775
3835,2.85,4,0.3755
3840,4.21,4,0.3735
3845,2.85,4.05,0.3728
3850,4.08,4.1,0.3707
3855,2.9,4.15,0.3701
3860,3.5,4.2,0.368
3865,3.13,4.25,0.3666
3870,4,4.3,0.3652
3875,4.2,4.3,0.3638
3880,3.5,4.35,0.3624
3885,3.2,4.4,0.3603
3890,3.2,4.45,0.3595
3895,3.3,4.5,0.3574
3900,4.7,4.55,0.3567
3905,3.3,4.55,0.3546
3910,4.19,4.65,0.3537
3915,3.4,4.65,0.3516
3920,3.63,4.75,0.3508
3925,4.32,4.75,0.3487
3930,3.6,4.85,0.3477
3935,3.6,4.85,0.3457
3940,3.7,4.95,0.3447
3945,3.7,4.95,0.3432
3950,5.1,5.05,0.3417
3955,3.8,5.05,0.3407
3960,3.9,5.15,0.3386
3965,3.9,5.15,0.3376
3970,5.7,5.25,0.3355
3975,4.23,5.35,0.3345
3980,4.1,5.35,0.3334
3985,4.1,5.45,0.3313
3990,5.7,5.45,0.3303
3995,5.3,5.55,0.3287
4000,5.7,5.65,0.3271
4005,4.3,5.65,0.326
4010,4.4,5.75,0.3243
4015,4.5,5.85,0.3227
4020,6.15,5.85,0.3216
4025,5.42,5.95,0.3204
4030,6.1,6.05,0.3187
4035,6.27,6.05,0.3171
4040,6.7,6.15,0.3159
4045,4.9,6.25,0.3146
4050,5.5,6.35,0.3134
4055,6.5,6.35,0.3117
4060,6.72,6.45,0.3099
4065,5.7,6.55,0.3087
4070,5.8,6.65,0.3074
4075,6.8,6.75,0.3061
4080,6.88,6.85,0.3048
4085,5.5,6.9,0.3034
4090,6.9,7,0.3021
4095,5.7,7.05,0.3007
4100,7.3,7.15,0.2994
4105,6.3,7.25,0.298
4110,7.8,7.35,0.2966
4115,7,7.45,0.2951
4120,7.8,7.55,0.2937
4125,7.83,7.65,0.2923
4130,6.82,7.75,0.2908
4135,6.4,7.9,0.2893
4140,8,8,0.2882
4145,6.6,8.1,0.2867
4150,8.6,8.25,0.2855
4155,6.8,8.35,0.284
4160,7.73,8.45,0.2828
4165,7.98,8.6,0.2813
4170,8.6,8.7,0.28
4175,8.52,8.85,0.2785
4180,8.08,8.95,0.2772
4185,7.6,9.1,0.2759
4190,8.4,9.25,0.2746
4195,8.4,9.4,0.2733
4200,9.7,9.5,0.2719
4205,9.82,9.65,0.2706
4210,10.2,9.8,0.2692
4215,10.2,9.95,0.2678
4220,8.92,10.1,0.2664
4225,9.62,10.3,0.2653
4230,9.57,10.45,0.2638
4235,9.9,10.6,0.2623
4240,11.5,10.8,0.2611
4245,10.68,10.95,0.2599
4250,10.88,11.1,0.2584
4255,9.8,11.3,0.2571
4260,11.9,11.5,0.2556
4265,10.88,11.7,0.2543
4270,11.25,11.9,0.2529
4275,12.25,12.1,0.2516
4280,12.57,12.25,0.2502
4285,12.65,12.5,0.249
4290,12.97,12.7,0.2479
4295,13.3,12.9,0.2464
4300,13.45,13.1,0.245
4305,13.6,13.3,0.2437
4310,13.95,13.6,0.2424
4315,15.05,13.8,0.2409
4320,14.7,14,0.2398
4325,13.78,14.3,0.2382
4330,15.15,14.5,0.2371
4335,14.57,14.8,0.2355
4340,16.47,15.05,0.2343
4345,14.78,15.3,0.233
4350,16.2,15.6,0.2317
4355,15.85,15.9,0.2305
4360,16.6,16.15,0.2291
4365,14.75,16.45,0.2278
4370,17.15,16.75,0.2264
4375,17.2,17.05,0.225
4380,16.35,17.4,0.2236
4385,17.55,17.7,0.2223
4390,18.45,18.05,0.221
4395,18.02,18.35,0.2196
4400,19.2,18.75,0.2183
4405,19.8,19.05,0.2169
4410,18.13,19.45,0.2155
4415,20.25,19.8,0.2142
4420,18.15,20.15,0.2129
4425,21.22,20.55,0.2115
4430,21.3,20.95,0.2101
4435,22.7,21.35,0.2087
4440,22.45,21.75,0.2074
4445,23.6,22.25,0.2061
4450,22.9,22.65,0.2047
4455,22.22,23.1,0.2033
4460,24.08,23.55,0.2019
4465,25.67,24.05,0.2006
4470,21.8,24.55,0.1992
4475,26.15,25.05,0.1978
4480,26.31,25.55,0.1964
4485,25.12,26.05,0.1951
4490,27.3,26.55,0.1937
4495,28.27,27.05,0.1923
4500,27.83,27.65,0.1907
4505,27.67,28.25,0.1895
4510,29.3,28.85,0.1881
4515,29.9,29.45,0.1866
4520,30.55,30.05,0.1854
4525,31.7,30.65,0.1839
4530,32.52,31.35,0.1826
4535,32.7,31.95,0.1809
4540,33.55,32.65,0.1795
4545,34.77,33.35,0.1782
4550,34.45,34.05,0.1768
4555,35.2,34.8,0.1752
4560,34.2,35.55,0.1738
4565,34.4,36.35,0.1724
4570,35.1,37.15,0.1709
4575,38.6,37.95,0.1695
4580,37.1,38.8,0.168
4585,41,39.65,0.1666
4590,40.9,40.55,0.1652
4595,44.8,41.45,0.1636
4600,43.17,42.4,0.1622
4605,46.6,43.4,0.1607
4610,46.1,44.4,0.1592
4615,44.1,45.4,0.1578
4620,48.46,46.45,0.1563
4625,48.37,47.5,0.1548
4630,50.85,48.7,0.1533
4635,51.4,49.9,0.1518
4640,54.74,51.1,0.1505
4645,54.05,52.3,0.1488
4650,53.9,53.6,0.1476
4655,55.82,54.9,0.146
4660,57.27,56.3,0.1446
4665,58.73,57.8,0.1431
4670,60,59.25,0.1418
4675,61.77,60.8,0.1404
4680,64.15,62.4,0.139
4685,65.3,64.05,0.1376
4690,67.5,65.8,0.1362
4695,68,67.55,0.1349
4700,70,69.4,0.1335
4705,72.87,71.35,0.1323
4710,76.4,73.35,0.131
4715,76.4,75.4,0.1298
4720,80.52,77.55,0.1285
4725,83,79.8,0.1274
4730,77.43,82.15,0.1262
4735,82.2,84.55,0.1251
4740,84.42,87,0.124
4745,86.6,89.55,0.123
4750,92.2,92,0.1219
4755,86.2,95,0.1209
4760,97.64,97.8,0.12
4765,106.35,100.7,0.119
4770,155.45,103.7,0.1181
4775,111.68,106.8,0.1172
4780,105.32,110,0.1164
4785,0,113.3,0.1157
4790,121,116.65,0.1149
4795,121.95,120.1,0.1141
4800,125.45,123.6,0.1135
4805,0,127.2,0.1128
4810,160.85,130.9,0.1122
4815,176.57,134.75,0.1116
4820,0,138.55,0.1112
4825,161.72,142.45,0.1107
4830,155.65,146.5,0.1102
4835,159.75,150.5,0.11
4840,315.7,154.7,0.1097
4845,0,158.9,0.1094
4850,181.93,163.15,0.1092
4855,0,167.5,0.1091
4860,0,171.8,0.1089
4865,197,176.3,0.1088
4870,0,180.7,0.1091
4875,209.2,185.3,0.1092
